643-22-1;CCCCCCCCCCCCCCCCCC([O-])=O.CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O;
72-56-0;CCc1ccc(cc1)C(C(Cl)Cl)c2ccc(CC)cc2;
20941-65-5;[Te+4].CCN(CC)C([S-])=S.CCN(CC)C([S-])=S.CCN(CC)C([S-])=S.CCN(CC)C([S-])=S;
41340-25-4;CCc1cccc2c3CCOC(CC)(CC(O)=O)c3[nH]c12;
97-53-0;COc1cc(CC=C)ccc1O;
2353-45-9;[Na+].[Na+].CCN(Cc1cccc(c1)[S]([O-])(=O)=O)c2ccc(cc2)[C+](c3ccc(cc3)N(CC)Cc4cccc(c4)[S]([O-])(=O)=O)c5ccc(O)cc5[S]([O-])(=O)=O;
16423-68-0;[Na+].[Na+].[O-]C(=O)c1ccccc1C2=C3C=C(I)C(=O)C(=C3Oc4c(I)c([O-])c(I)cc24)I;
1934-21-0;[Na+].[Na+].[Na+].[O-]C(=O)C1=NN(c2ccc(cc2)[S]([O-])(=O)=O)C(=O)C1N=Nc3ccc(cc3)[S]([O-])(=O)=O;
2783-94-0;[Na+].[Na+].[O-][S](=O)(=O)c1ccc(N\N=C2\C(=O)C=Cc3cc(ccc23)[S]([O-])(=O)=O)cc1;
140-56-7;[Na+].CN(C)c1ccc(cc1)N=N[S]([O-])(=O)=O;
51630-58-1;CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(Cl)cc3;
2164-17-2;CN(C)C(=O)Nc1cccc(c1)C(F)(F)F;
7681-49-4;[F-].[Na+];
9000-30-0;None;
05/01/9000;None;
33229-34-4;OCCNc1ccc(cc1[N+]([O-])=O)N(CCO)CCO;
59820-43-8;OCCNc1ccc(cc1OCCO)[N+]([O-])=O;
77-47-4;ClC1=C(Cl)C(Cl)(Cl)C(=C1Cl)Cl;
70-30-4;Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl;
100-97-0;C1N2CN3CN1CN(C2)C3;
136-77-6;CCCCCCc1ccc(O)cc1O;
58-93-5;N[S](=O)(=O)c1cc2c(NCN[S]2(=O)=O)cc1Cl;
148-24-3;Oc1cccc2cccnc12;
75-47-8;IC(I)I;
101-21-3;CC(C)OC(=O)Nc1cccc(Cl)c1;
80-05-7;CC(C)(c1ccc(O)cc1)c2ccc(O)cc2;
19010-66-3;[Pb++].CN(C)C([S-])=S.CN(C)C([S-])=S;
434-13-9;C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C;
9000-40-2;None;
1634-78-2;CCOC(=O)CC(S[P](=O)(OC)OC)C(=O)OCC;
121-75-5;CCOC(=O)CC(S[P](=S)(OC)OC)C(=O)OCC;
123-33-1;O=C1NNC(=O)C=C1;
10034-96-5;O.[Mn++].[O-][S]([O-])(=O)=O;
69-65-8;OCC(O)C(O)C(O)C(O)CO;
59-05-2;CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O;
72-43-5;COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl;
41372-08-1;O.O.O.C[C@](N)(Cc1ccc(O)c(O)c1)C(O)=O.C[C@](N)(Cc2ccc(O)c(O)c2)C(O)=O;
80-62-6;COC(=O)C(C)=C;
298-00-0;CO[P](=S)(OC)Oc1ccc(cc1)[N+]([O-])=O;
79-11-8;OC(=O)CCl;
1465-25-4;[H+].[H+].[Cl-].[Cl-].NCCNc1cccc2ccccc12;
10101-97-0;O.O.O.O.O.O.[Ni++].[O-][S]([O-])(=O)=O;
100-01-6;Nc1ccc(cc1)[N+]([O-])=O;
619-17-0;Nc1cc(ccc1C(O)=O)[N+]([O-])=O;
121-19-7;Oc1ccc(cc1[N+]([O-])=O)[As](O)(O)=O;
86-57-7;[O-][N+](=O)c1cccc2ccccc12;
99-56-9;Nc1ccc(cc1N)[N+]([O-])=O;
504-88-1;OC(=O)CC[N+]([O-])=O;
73590-58-6;COc1ccc2nc([nH]c2c1)[S](=O)Cc3ncc(C)c(OC)c3C;
11042-64-1;COc1cc(\C=C\C(=O)O[C@H]2CC[C@]34C[C@]35CC[C@]6(C)[C@H](CC[C@@]6(C)[C@@H]5CC[C@H]4C2(C)C)[C@H](C)CCC=C(C)C)ccc1O;
23135-22-0;CNC(=O)O\N=C(SC)\C(=O)N(C)C;
6452-73-9;[H+].[Cl-].CC(C)NCC(O)COc1ccccc1OCC=C;
2058-46-0;[Cl-].CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O.[H+];
56-38-2;CCO[P](=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O;
132-98-9;[K+].CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C([O-])=O;
78-11-5;[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O;
834-28-6;[H+].[Cl-].NC(N)=NC(N)=NCCc1ccccc1;
108-95-2;Oc1ccccc1;
624-18-0;[H+].[H+].[Cl-].[Cl-].Nc1ccc(N)cc1;
61-76-7;[H+].[Cl-].CNCC(O)c1cccc(O)c1;
89-25-8;CC1=NN(C(=O)C1)c2ccccc2;
135-88-6;N(c1ccccc1)c2ccc3ccccc3c2;
2198-59-6;[H+].[Cl-].Nc1ccc(Nc2ccccc2)cc1;
103-85-5;NC(=S)Nc1ccccc1;
88-96-0;NC(=O)c1ccccc1C(N)=O;
85-44-9;O=C1OC(=O)c2ccccc12;
01/02/1918;None;
9005-65-6;CCCCCCCC/C=C/CCCCCCCC(=O)OCCOCC(OCCO)C1OC(CC1OCCO)OCCO;
58-33-3;[H+].[Cl-].CC(CN1c2ccccc2Sc3ccccc13)N(C)C;
115-07-1;CC=C;
121-79-9;CCCOC(=O)c1cc(O)c(O)c(O)c1;
108-46-3;Oc1cccc(O)c1;
989-38-8;[H+].[Cl-].CCNc1cc2OC3=CC(=NCC)C(=CC3=C(c2cc1C)c4ccccc4C(=O)OCC)C;
83-79-4;COc1cc2OC[C@H]3Oc4c5C[C@@H](Oc5ccc4C(=O)[C@H]3c2cc1OC)C(C)=C;
7758-19-2;[Na+].[O-][Cl]=O;
148-18-5;[Na+].CCN(CC)C([S-])=S;
7681-52-9;[Na+].[O-]Cl;
110-44-1;C/C=C/C=C/C(O)=O;
127-69-5;Cc1noc(N[S](=O)(=O)c2ccc(N)cc2)c1C;
77-79-2;O=[S]1(=O)CC=CC1;
39300-88-4;None;
2438-88-2;COc1c(Cl)c(Cl)c(c(Cl)c1Cl)[N+]([O-])=O;
64-75-5;[Cl-].CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O.[H+];
97-77-8;CCN(CC)C(=S)SSC(=S)N(CC)CC;
03/08/1972;None;
124-64-1;[Cl-].OC[P+](CO)(CO)CO;
55566-30-8;OC[P+](CO)(CO)CO.OC[P+](CO)(CO)CO.[O-][S]([O-])(=O)=O;
137-26-8;CN(C)C(=S)SSC(=S)N(C)C;
96-69-5;Cc1cc(O)c(cc1Sc2cc(c(O)cc2C)C(C)(C)C)C(C)(C)C;
7772-99-8;[Cl-].[Cl-].[Sn++];
64-77-7;CCCCNC(=O)N[S](=O)(=O)c1ccc(C)cc1;
71-55-6;CC(Cl)(Cl)Cl;
75-69-4;FC(Cl)(Cl)Cl;
93-76-5;OC(=O)COc1cc(Cl)c(Cl)cc1Cl;
1330-78-5;Cc1ccc(O[P](=O)(Oc2ccc(C)cc2)Oc3ccc(C)cc3)cc1;
76-87-9;O|[Sn](c1ccccc1)(c2ccccc2)c3ccccc3;
6138-79-0;[H+].O.[Cl-].Cc1ccc(cc1)\C(=C/CN2CCCC2)c3ccccn3;
73-22-3;NC(Cc1c[nH]c2ccccc12)C(O)=O;
8024-37-1;COc1cc(\C=C\C(=O)CC(=O)\C=C\c2ccc(O)c(OC)c2)ccc1O;
57-13-6;NC(N)=O;
25013-15-4;Cc1cccc(C=C)c1;
75-07-0;CC=O;
16568-02-8;C\C=N\N(C)C=O;
60-35-5;CC(N)=O;
103-90-2;CC(=O)Nc1ccc(O)cc1;
127-06-0;CC(C)=NO;
6098-44-8;CC(=O)ON(C(C)=O)c1ccc2c(Cc3ccccc23)c1;
34627-78-6;CC(=O)OC(C=C)c1ccc2OCOc2c1;
53-96-3;CC(=O)Nc1ccc2c(Cc3ccccc23)c1;
114-83-0;CC(=O)NNc1ccccc1;
107-13-1;C=CC#N;
50-76-0;CC(C)C1NC(=O)C(NC(=O)c2ccc(C)c3OC4=C(C)C(=O)C(=C(C(=O)NC5C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C6CCCN6C(=O)C(NC5=O)C(C)C)C4=Nc23)N)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C7CCCN7C1=O;
29611-03-8;COc1cc2O[C@H]3OC=C[C@H]3c2c4OC(=O)C5=C(CC[C@@H]5O)c14;
1162-65-8;COc1cc2OC3OC=CC3c2c4OC(=O)C5=C(CCC5=O)c14;
309-00-2;ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl;
106-92-3;C=CCOCC1CO1;
2835-39-4;CC(C)CC(=O)OCC=C;
613-13-8;Nc1ccc2cc3ccccc3cc2c1;
117-79-3;Nc1ccc2C(=O)c3ccccc3C(=O)c2c1;
60-09-3;Nc1ccc(cc1)N=Nc2ccccc2;
92-67-1;Nc1ccc(cc1)c2ccccc2;
2113-61-3;[Cl-].[NH3+]c1ccc(cc1)c2ccccc2;
81-49-2;Nc1c(Br)cc(Br)c2C(=O)c3ccccc3C(=O)c12;
77094-11-2;Cn1c(N)nc2c3cccnc3cc(C)c12;
77500-04-0;Cn1c(N)nc2c1ccc3ncc(C)nc23;
68808-54-8;CC(O)=O.Cc1nc(N)c(C)c2[nH]c3ccccc3c12;
67730-10-3;Nc1ccc2nc3ccccn3c2n1;
17026-81-2;CCOc1ccc(NC(C)=O)cc1N;
6109-97-3;[H+].[Cl-].CCn1c2ccccc2c3cc(N)ccc13;
Mixture;None;
153-78-6;Nc1ccc2c(Cc3ccccc23)c1;
67730-11-4;Cc1cccn2c1nc3ccc(N)nc23;
76180-96-6;[H+].[Br-].Cn1c(N)nc2c1ccc3ncccc23;
-;None;
-;None;
72254-58-1;CC(O)=O.Cc1nc(N)cc2[nH]c3ccccc3c12;
38514-71-5;Nc1scc(n1)c2oc(cc2)[N+]([O-])=O;
99-57-0;Nc1cc(ccc1O)[N+]([O-])=O;
121-88-0;Nc1ccc(cc1O)[N+]([O-])=O;
119-34-6;Nc1ccc(O)c(c1)[N+]([O-])=O;
121-66-4;Nc1sc(cn1)[N+]([O-])=O;
26148-68-5;Nc1ccc2c([nH]c3ccccc23)n1;
61-82-5;Nc1[nH]ncn1;
2432-99-7;NCCCCCCCCCCC(O)=O;
142-04-1;[H+].[Cl-].Nc1ccccc1;
134-29-2;[H+].[Cl-].COc1ccccc1N;
313-67-7;COc1cccc2c1cc(c3c(cc4OCOc4c23)C(O)=O)[N+]([O-])=O;
27323-18-8;Clc1ccccc1c2ccccc2;
12001-29-5;O.[Mg++].[Mg++].[Mg++].O[Si]([O-])([O-])[O-].O[Si]([O-])([O-])[O-];
1912-24-9;CCNc1nc(Cl)nc(NC(C)C)n1;
2465-27-2;[H+].[Cl-].CN(C)c1ccc(cc1)C(=N)c2ccc(cc2)N(C)C;
320-67-2;NC1=NC(=O)N(C=N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O;
115-02-6;NC(COC(=O)C=[N+]=[N-])C(O)=O;
446-86-6;Cn1cnc(c1Sc2ncnc3nc[nH]c23)[N+]([O-])=O;
103-33-3;c1ccc(cc1)N=Nc2ccccc2;
25843-45-2;C[N-][N+](C)=O;
88133-11-3;CCOCCc1c2ncnn2c(N)nc1c3ccccc3;
17804-35-2;CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12;
100-52-7;O=Cc1ccccc1;
56-55-3;c1ccc2cc3c(ccc4ccccc34)cc2c1;
71-43-2;c1ccccc1;
92-87-5;Nc1ccc(cc1)c2ccc(N)cc2;
531-85-1;[H+].[H+].[Cl-].[Cl-].Nc1ccc(cc1)c2ccc(N)cc2;
271-89-6;o1ccc2ccccc12;
50-32-8;c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45;
106-51-4;O=C1C=CC(=O)C=C1;
98-07-7;ClC(Cl)(Cl)c1ccccc1;
140-11-4;CC(=O)OCc1ccccc1;
100-44-7;ClCc1ccccc1;
120-32-1;Oc1ccc(Cl)cc1Cc2ccccc2;
2185-92-4;[H+].[Cl-].Nc1ccccc1c2ccccc2;
3296-90-0;OCC(CO)(CBr)CBr;
108-60-1;CC(CCl)OC(C)CCl;
111-44-4;ClCCOCCCl;
36711-31-6;[Mg++].OCC(Br)CBr.O[P]([O-])([O-])=O;
90-94-8;CN(C)c1ccc(cc1)C(=O)c2ccc(cc2)N(C)C;
02/01/7758;None;
75-27-4;ClC(Cl)Br;
74-96-4;CCBr;
540-51-2;OCCBr;
16238-56-5;Cc1c2ccccc2c(CBr)c3ccc4ccccc4c13;
106-99-0;C=CC=C;
75-65-0;CC(C)(C)O;
25013-16-5;COc1ccc(O)c(c1)C(C)(C)C;
