,AID,AID Version,AID Revision,Panel Member ID,SID,CID,Bioactivity Outcome,Target GI,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Bioassay Type,PubMed ID,RNAi
0,121317,3,3,,103234393,178795,Unspecified,,,,,In vivo activity tested against C3H mice bearing colon adenocarcinoma -38(colon-38) tumor measured as % treated/control calculated at 1590 mg/kg (po),Other,11356111.0,
1,123114,3,3,,103234393,178795,Unspecified,,,,,In vivo activity tested against C3H mice bearing colon adenocarcinoma -38(colon-38) tumor measured as activity rating at 1590 mg/kg (po),Other,11356111.0,
2,124039,3,4,,103234393,178795,Unspecified,,,,,In vivo activity tested against C3H mice bearing colon adenocarcinoma -38(colon-38) tumor measured as body weight loss at 1590 mg/kg (po),Other,11356111.0,
3,124269,3,3,,103234393,178795,Inactive,,,,,In vivo activity tested against C3H mice bearing colon adenocarcinoma -38(colon-38) tumor measured as log Kill value was based on tumors that grew at 1590 mg/kg (po); None,Other,11356111.0,
4,278576,7,2,,103234393,178795,Unspecified,,,575.4,IC50,Inhibition of Plasmodium falciparum FCK2 growth as [3H]hypoxanthine uptake after 48 hrs,Confirmatory,17060533.0,
5,278577,7,2,,103234393,178795,Unspecified,,,676.1,IC50,Inhibition of Plasmodium falciparum FCK2 growth as [3H]hypoxanthine uptake after 96 hrs,Confirmatory,17060533.0,
6,493458,4,4,,103234393,178795,Unspecified,,,100.0,IC50,Antimalarial activity against Plasmodium falciparum D10,Confirmatory,20580556.0,
7,493460,4,2,,103234393,178795,Active,,,0.016,IC50,Inhibition of maize ACC,Confirmatory,20580556.0,
8,1102188,1,1,,103234393,178795,Unspecified,,,,,Increase of poly-3-hydroxybutyrate production in rCAB8 transgenic Nicotiana tabacum (tobacco) plastids at 50 uM sprayed on five-leaf stage plant once in a week measured after 2 weeks relative to cytosol,Other,12596845.0,
9,1102189,1,1,,103234393,178795,Unspecified,,,,,Increase of poly-3-hydroxybutyrate production in BC3 transgenic Nicotiana tabacum (tobacco) plastids at 10 uM sprayed on five-leaf stage plant once in a week measured after 2 weeks relative to cytosol,Other,12596845.0,
10,1102190,1,1,,103234393,178795,Unspecified,,,,,Increase of poly-3-hydroxybutyrate production in BC3 transgenic Nicotiana tabacum (tobacco) at 10 uM sprayed on five leaf stage plant once in a week measured after 2 weeks relative to control,Other,12596845.0,
11,1102191,1,1,,103234393,178795,Unspecified,,,,,Increase of poly-3-hydroxybutyrate production in rCAB8 transgenic Nicotiana tabacum (tobacco) at 50 uM sprayed on five-leaf stage plant once in a week measured after 1 week relative to control,Other,12596845.0,
12,1102192,1,1,,103234393,178795,Unspecified,,,,,Increase of poly-3-hydroxybutyrate production in BC3 transgenic Nicotiana tabacum (tobacco) at 10 uM sprayed on five-leaf stage plant once in a week measured after 1 week relative to control,Other,12596845.0,
13,1102193,1,1,,103234393,178795,Active,,,,,Increase of leaf dry weight in BC3 transgenic Nicotiana tabacum (tobacco) at 10 uM sprayed on five leaf stage plant once in a week measured after 1 week,Other,12596845.0,
14,1102194,1,1,,103234393,178795,Active,,,,,Increase of PHA synthase level in rCAB8 transgenic Nicotiana tabacum (tobacco) at 50 uM sprayed on five leaf stage plant once in a week measured after 2 weeks by immunoblot analysis,Other,12596845.0,
15,1102195,1,1,,103234393,178795,Active,,,,,Increase of PHA synthase level in BC3 transgenic Nicotiana tabacum (tobacco) at 10 uM sprayed on five leaf stage plant once in a week measured after 2 weeks by immunoblot analysis,Other,12596845.0,
