,AID,AID Version,AID Revision,Panel Member ID,SID,CID,Bioactivity Outcome,Target GI,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Bioassay Type,PubMed ID,RNAi
0,1188,1,2,,48414912,3283,Active,,,,,DSSTox (EPAFHM) EPA Fathead Minnow Acute Toxicity,Other,,
1,19262,5,1,,103179492,3283,Unspecified,,,,,Aqueous solubility,Other,10866370.0,
2,23443,3,3,,103179492,3283,Unspecified,,,,,Partition coefficient (logP),Other,3882967.0,
3,26047,3,4,,103179492,3283,Unspecified,,,,,"logBB, log(C brain / C blood)",Other,8941388.0,
4,101345,5,2,,103179492,3283,Unspecified,,,52723000.0,LC50,Toxicity determined using Golden Orfe Fish Test,Confirmatory,2033592.0,
5,159270,4,1,,103179492,3283,Unspecified,,,90573300000.0,EC50,Toxicity determined using Microtox Test,Confirmatory,2033592.0,
6,162230,5,2,,103179492,3283,Unspecified,,,28840300000.0,LC50,The toxicity of compound was determined using Konemann's Industrial Pollutants Toxicity Test,Confirmatory,2033592.0,
7,168703,3,4,,103179492,3283,Unspecified,,,,,Inhibition of Rana pipiens muscle activity.,Other,2033592.0,
8,212400,3,3,,103179492,3283,Unspecified,,,,,Toxicity determined using Tadpole Narcosis Test,Other,2033592.0,
9,343683,3,3,,103179492,3283,Unspecified,,,,,"Octanol-water partition coefficient, log P of the compound",Other,18558667.0,
10,343684,3,3,,103179492,3283,Unspecified,,,,,"Alkane-water partition coefficient, log P of the compound",Other,18558667.0,
11,603950,1,3,,103179492,3283,Unspecified,,,,,"In-vitro air to lung partition coefficients of the compound, logK(lung) (human/rat)",Other,17544548.0,
12,603951,1,3,,103179492,3283,Unspecified,,,,,"In-vitro air to blood partition coefficients of the compound, logK(blood) (human/rat)",Other,17544548.0,
13,603952,1,3,,103179492,3283,Unspecified,,,,,"In-vitro blood to lung partition coefficients of the compound, logP(lung) (human/rat)",Other,17544548.0,
14,1134605,2,1,,103179492,3283,Unspecified,,,,,"Oil-water partition coefficient, log P of the compound",Other,894678.0,
15,1134606,2,1,,103179492,3283,Unspecified,,,,,"Et2O-water partition coefficient, log P of the compound",Other,894678.0,
16,1259408,1,1,,363894903,3283,Unspecified,,,,,GENE-TOX mutagenicity studies,Other,,
