,AID,AID Version,AID Revision,Panel Member ID,SID,CID,Bioactivity Outcome,Target GI,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Bioassay Type,PubMed ID,RNAi
0,977611,3,1,,87557147,445258,Active,189095923,,2600,Kd,Experimentally measured binding affinity data (Kd) for protein-ligand complexes derived from PDB,Other,18310239,
1,977611,3,1,,87557147,445258,Active,189095924,,2600,Kd,Experimentally measured binding affinity data (Kd) for protein-ligand complexes derived from PDB,Other,18310239,
