,AID,AID Version,AID Revision,Panel Member ID,SID,CID,Bioactivity Outcome,Target GI,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Bioassay Type,PubMed ID,RNAi
0,336478,3,7,,103737507,75427,Unspecified,,,,,Inhibition of COX2 at 100 uM by scintillation proximity assay,Other,12444669,
1,468443,4,7,,103737507,75427,Unspecified,60416391.0,2166.0,,,Inhibition of human FAAH at 1 uM,Other,19850474,
2,770259,1,5,,103737507,75427,Unspecified,267079.0,831100.0,,,Effect on GFP-tagged tubulin beta6 polymerization in Arabidopsis thaliana (L.) Heynh assessed as growth of lagging end at 25 uM after 10 mins by confocal microscopic analysis (Rvb = 3.54 +/- 2.48 um/min),Other,23947826,
3,770260,1,5,,103737507,75427,Unspecified,267079.0,831100.0,,,Effect on GFP-tagged tubulin beta6 polymerization in Arabidopsis thaliana (L.) Heynh assessed as shorten lagging end at 25 uM after 10 mins by confocal microscopic analysis (Rvb = 3.57 +/- 2.33 um/min),Other,23947826,
4,770261,1,5,,103737507,75427,Unspecified,267079.0,831100.0,,,Effect on GFP-tagged tubulin beta6 polymerization in Arabidopsis thaliana (L.) Heynh assessed as growth of leading end at 25 uM after 10 mins by confocal microscopic analysis (Rvb = 5.79 +/- 1.15 um/min),Other,23947826,
5,770262,1,5,,103737507,75427,Unspecified,267079.0,831100.0,,,Effect on GFP-tagged tubulin beta6 polymerization in Arabidopsis thaliana (L.) Heynh assessed as shorten leading end at 25 uM after 10 mins by confocal microscopic analysis (Rvb = 15.43 +/- 5.37 um/min),Other,23947826,
6,770263,1,1,,103737507,75427,Inactive,,,,,Effect on GFP-talin-tagged actin dynamics in Arabidopsis thaliana (L.) Heynh at 25 uM after 10 mins by confocal microscopic analysis,Other,23947826,
7,770264,1,1,,103737507,75427,Inactive,,,,,Effect on GFP-talin-tagged actin organization in Arabidopsis thaliana (L.) Heynh at 25 uM after 10 mins by confocal microscopic analysis,Other,23947826,
8,770265,1,5,,103737507,75427,Active,267079.0,831100.0,,,Effect on GFP-tagged tubulin beta6 polymerization in Arabidopsis thaliana (L.) Heynh at 25 uM after 10 mins by confocal microscopic analysis,Other,23947826,
9,770266,1,1,,103737507,75427,Unspecified,,,,,Inhibition of rhodamine-labeled bovine brain tubulin polymerization assessed as shorter microtubules at 20 uM after 20 mins by fluorescence microscopic analysis relative to control,Other,23947826,
10,770267,1,1,,103737507,75427,Unspecified,,,,,Inhibition of rhodamine-labeled bovine brain tubulin polymerization assessed as number of microtubules at 20 uM after 20 mins by fluorescence microscopic analysis relative to control,Other,23947826,
11,770270,1,1,,103737507,75427,Inactive,,,,,Effect on actin depolymerization in rat REF52 cells assessed as effect on ratio of soluble to insoluble protein fraction at 20 uM after 30 mins by Western blot analysis,Other,23947826,
12,770271,1,1,,103737507,75427,Active,,,,,Induction of microtubule depolymerization in rat REF52 cells assessed as decrease in ratio of soluble to insoluble tubulin fraction at 20 uM after 30 mins by Western blot analysis,Other,23947826,
13,770274,1,1,,103737507,75427,Unspecified,,,,,Induction of microtubule depolymerization in rat REF52 cells assessed as decrease in fluorescence associated with fibers at 27.5 uM incubated for 5 to 30 mins measured after 30 mins relative to control,Other,23947826,
14,770275,1,1,,103737507,75427,Unspecified,,,,,Induction of microtubule depolymerization in rat REF52 cells at 27.5 to 55 uM after 30 mins by fluorescence assay relative to control,Other,23947826,
15,770276,1,1,,103737507,75427,Unspecified,,,,,Induction of microtubule depolymerization in rat REF52 cells at 27.5 uM by fluorescence assay,Other,23947826,
16,770278,1,1,,103737507,75427,Unspecified,,,,,Induction of microtubule depolymerization in rat REF52 cells after 30 mins by fluorescence assay,Other,23947826,
17,770280,1,1,,103737507,75427,Inactive,,,,,Effect on actin depolymerization in rat REF52 cells at 27.5 uM after 30 mins by fluorescence assay,Other,23947826,
18,770282,1,1,,103737507,75427,Inactive,,,,,Effect on actin depolymerization in human HeLa cells at 27.5 uM after 30 mins by fluorescence assay,Other,23947826,
19,770283,1,1,,103737507,75427,Active,,,,,Induction of microtubule depolymerization in rat REF52 cells at 27.5 uM after 30 mins by fluorescence assay,Other,23947826,
20,770284,1,1,,103737507,75427,Active,,,,,Induction of microtubule depolymerization in human HeLa cells at 27.5 uM after 30 mins by fluorescence assay,Other,23947826,
21,1082363,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Liposcelis bostrychophila (booklice) assessed as repellent activity at 1.6 nL/cm2 after 4 hr,Other,21819085,
22,1082364,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Liposcelis bostrychophila (booklice) assessed as repellent activity at 3.2 nL/cm2 after 4 hr,Other,21819085,
23,1082365,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Liposcelis bostrychophila (booklice) assessed as repellent activity at 6.4 nL/cm2 after 4 hr,Other,21819085,
24,1082366,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Liposcelis bostrychophila (booklice) assessed as repellent activity at 13 nL/cm2 after 4 hr,Other,21819085,
25,1082367,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Liposcelis bostrychophila (booklice) assessed as repellent activity at 26 nL/cm2 after 4 hr,Other,21819085,
26,1082368,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Liposcelis bostrychophila (booklice) assessed as repellent activity at 1.6 nL/cm2 after 2 hr,Other,21819085,
27,1082369,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Liposcelis bostrychophila (booklice) assessed as repellent activity at 3.2 nL/cm2 after 2 hr,Other,21819085,
28,1082370,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Liposcelis bostrychophila (booklice) assessed as repellent activity at 6.4 nL/cm2 after 2 hr,Other,21819085,
29,1082371,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Liposcelis bostrychophila (booklice) assessed as repellent activity at 13 nL/cm2 after 2 hr,Other,21819085,
30,1082372,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Liposcelis bostrychophila (booklice) assessed as repellent activity at 26 nL/cm2 after 2 hr,Other,21819085,
31,1082373,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Tribolium castaneum (red flour beetle) assessed as repellent activity at 0.0016 nL/cm2 after 4 hr,Other,21819085,
32,1082374,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Tribolium castaneum (red flour beetle) assessed as repellent activity at 0.016 nL/cm2 after 4 hr,Other,21819085,
33,1082375,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Tribolium castaneum (red flour beetle) assessed as repellent activity at 0.16 nL/cm2 after 4 hr,Other,21819085,
34,1082376,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Tribolium castaneum (red flour beetle) assessed as repellent activity at 1.6 nL/cm2 after 4 hr,Other,21819085,
35,1082377,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Tribolium castaneum (red flour beetle) assessed as repellent activity at 16 nL/cm2 after 4 hr,Other,21819085,
36,1082378,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Tribolium castaneum (red flour beetle) assessed as repellent activity at 0.016 nL/cm2 after 2 hr,Other,21819085,
37,1082379,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Tribolium castaneum (red flour beetle) assessed as repellent activity at 0.0016 nL/cm2 after 2 hr,Other,21819085,
38,1082380,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Tribolium castaneum (red flour beetle) assessed as repellent activity at 0.16 nL/cm2 after 2 hr,Other,21819085,
39,1082381,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Tribolium castaneum (red flour beetle) assessed as repellent activity at 1.6 nL/cm2 after 2 hr,Other,21819085,
40,1082382,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Tribolium castaneum (red flour beetle) assessed as repellent activity at 16 nL/cm2 after 2 hr,Other,21819085,
41,1098239,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 96 hr relative to control,Other,23731643,
42,1098240,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 48 hr relative to control,Other,23731643,
43,1098241,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 24 hr relative to control,Other,23731643,
44,1098242,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 12 hr relative to control,Other,23731643,
45,1098243,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 96 hr relative to control,Other,23731643,
46,1098244,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 48 hr relative to control,Other,23731643,
47,1098245,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 24 hr relative to control,Other,23731643,
48,1098246,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against adult Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 12 hr relative to control,Other,23731643,
49,1098263,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against third-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 96 hr (Rvb = 3.3 +/- 3.3%),Other,23731643,
50,1098264,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against third-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 48 hr (Rvb = 3.3 +/- 3.3%),Other,23731643,
51,1098265,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against third-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 24 hr relative to control,Other,23731643,
52,1098266,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against third-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 12 hr relative to control,Other,23731643,
53,1098267,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against third-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 96 hr (Rvb = 3.3 +/- 3.3%),Other,23731643,
54,1098268,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against third-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 48 hr (Rvb = 3.3 +/- 3.3%),Other,23731643,
55,1098269,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against third-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 24 hr relative to control,Other,23731643,
56,1098270,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against third-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 12 hr relative to control,Other,23731643,
57,1098295,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against second-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 96 hr (Rvb = 3.3 +/- 3.3%),Other,23731643,
58,1098296,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against second-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 48 hr (Rvb = 3.3 +/- 3.3%),Other,23731643,
59,1098297,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against second-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 24 hr (Rvb = 3.3 +/- 3.3%),Other,23731643,
60,1098298,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against second-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 12 hr relative to control,Other,23731643,
61,1098299,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against second-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 96 hr (Rvb = 3.3 +/- 3.3%),Other,23731643,
62,1098300,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against second-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 48 hr (Rvb = 3.3 +/- 3.3%),Other,23731643,
63,1098301,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against second-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 24 hr (Rvb = 3.3 +/- 3.3%),Other,23731643,
64,1098302,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against second-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 12 hr relative to control,Other,23731643,
65,1098311,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against first-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 96 hr relative to control,Other,23731643,
66,1098312,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against first-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 48 hr relative to control,Other,23731643,
67,1098313,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against first-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 24 hr relative to control,Other,23731643,
68,1098314,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against first-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 12 hr relative to control,Other,23731643,
69,1098315,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against first-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 96 hr relative to control,Other,23731643,
70,1098316,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against first-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 48 hr relative to control,Other,23731643,
71,1098317,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against first-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 12 hr relative to control,Other,23731643,
72,1098318,1,1,,103737507,75427,Unspecified,,,,,Insecticidal activity against first-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 24 hr relative to control,Other,23731643,
