,AID,AID Version,AID Revision,Panel Member ID,SID,CID,Bioactivity Outcome,Target GI,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Bioassay Type,PubMed ID,RNAi
0,1189,1,5,,48413997,6323,Inactive,,,,,DSSTox (CPDBAS) Carcinogenic Potency Database Summary SingleCellCall Results,Other,,
1,1194,1,3,,48413997,6323,Active,,,,,DSSTox (CPDBAS) Carcinogenic Potency Database Salmonella Mutagenicity,Other,,
2,1199,1,3,,48413997,6323,Inactive,,,,,DSSTox (CPDBAS) Carcinogenic Potency Database Summary Mouse Bioassay Results,Other,,
3,1205,1,4,,48413997,6323,Inactive,,,,,DSSTox (CPDBAS) Carcinogenic Potency Database Summary MultiCellCall Results,Other,,
4,1208,1,3,,48413997,6323,Inactive,,,,,DSSTox (CPDBAS) Carcinogenic Potency Database Summary Rat Bioassay Results,Other,,
5,23443,3,3,,103226237,6323,Unspecified,,,,,Partition coefficient (logP),Other,3882967.0,
6,212400,3,3,,103226237,6323,Unspecified,,,,,Toxicity determined using Tadpole Narcosis Test,Other,2033592.0,
7,1089219,1,1,,103226237,6323,Unspecified,,,,,Increase in marketable fruit yield in Zingiber officinale (ginger) plants at 400 kg/ha applied through fumigation protocol (Rvb = 48.2 ton/ha),Other,23731643.0,
8,1089224,1,1,,103226237,6323,Unspecified,,,,,Increase in medium fruit yield in Zingiber officinale (ginger) plants at 400 kg/ha applied through fumigation protocol (Rvb = 24.6 ton/ha),Other,23731643.0,
9,1089229,1,1,,103226237,6323,Unspecified,,,,,Increase in large fruit yield in Zingiber officinale (ginger) plants at 400 kg/ha applied through fumigation protocol (Rvb = 20.1 ton/ha),Other,23731643.0,
10,1089233,1,1,,103226237,6323,Unspecified,,,,,Increase in extra-large fruit yield in Zingiber officinale (ginger) plants at 400 kg/ha applied through fumigation protocol (Rvb = 3.5 ton/ha),Other,23731643.0,
11,1089237,1,1,,103226237,6323,Active,,,,,Herbicidal activity against Capsella bursa-pastoris assessed as reduction in weed populations at 400 kg/ha,Other,23731643.0,
12,1089238,1,1,,103226237,6323,Active,,,,,Herbicidal activity against Digitaria sanguinalis (hairy crabgrass) assessed as reduction in weed populations at 400 kg/ha,Other,23731643.0,
13,1089239,1,1,,103226237,6323,Active,,,,,Herbicidal activity against Stellaria media assessed as reduction in weed populations at 400 kg/ha,Other,23731643.0,
14,1089240,1,1,,103226237,6323,Active,,,,,Antimicrobial activity against Ralstonia solanacearum in ginger plants fields assessed as reduction in ginger blast-induced plant mortality at 400 kg/ha applied through fumigation protocol,Other,23731643.0,
15,1089246,1,1,,103226237,6323,Unspecified,,,,,Nematicidal activity against Meloidogyne incognita (root-knot nematode) in ginger crop fields assessed as root galling index at 400 kg/ha measured after 60 days post compound application (Rvb = 5.49 root galling index),Other,23731643.0,
16,1089251,1,1,,103226237,6323,Unspecified,,,,,Nematicidal activity against Meloidogyne incognita (root-knot nematode) in ginger crop fields assessed as number of nematodes per 100 cm3 soil at 400 kg/ha measured after 60 days post compound application (Rvb = 88.2 nematodes in 100 cm3 soil),Other,23731643.0,
17,1089256,1,1,,103226237,6323,Unspecified,,,,,Nematicidal activity against Meloidogyne incognita (root-knot nematode) in ginger crop fields assessed as number of nematodes per 100 cm3 soil at 400 kg/ha measured after 40 days post compound application (Rvb = 75.3 nematodes in 100 cm3 soil),Other,23731643.0,
