,AID,AID Version,AID Revision,Panel Member ID,SID,CID,Bioactivity Outcome,Target GI,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Bioassay Type,PubMed ID,RNAi
0,1090115,1,1,,194156041,10085783,Unspecified,,,,,Antifungal activity against Magnaporthe oryzae infected compound pre-treated rice seedlings through submerged application assessed as concentration required to prevent rice blast disease development measured per 10 acres after 7 days under greenhouse condition,Other,15186840,
1,1090116,1,1,,194156041,10085783,Unspecified,,,,,Antifungal activity against Rhizoctonia solani infected compound pre-treated rice seedlings through submerged application assessed as concentration required to prevent rice sheath blight disease development measured per 10 acres after 7 days under greenhouse condition,Other,15186840,
2,1090117,1,1,,194156041,10085783,Unspecified,,,,,Fungicidal activity against Magnaporthe oryzae assessed as inhibition of mycelial growth after 24 to 48 hr by agar dilution method,Other,15186840,
3,1090118,1,1,,194156041,10085783,Unspecified,,,,,Fungicidal activity against Rhizoctonia solani assessed as inhibition of mycelial growth after 24 to 48 hr by agar dilution method,Other,15186840,
4,1101069,1,1,,194156041,10085783,Unspecified,,,,,Fungicidal activity against Rhizoctonia solani infected Oryza sativa var. Nipponbare assessed per 10 acres applied by submerged-treatment 7 days prior to infection measured after 5 days,Other,10959578,
5,1102452,1,1,,194156041,10085783,Unspecified,,,,,Fungicidal activity against Blumeria graminis f. sp. hordei infested first-leaf stage of barley seedlings assessed as growth inhibition applied as spray after 10 days under green house conditions,Other,12951461,
6,1102453,2,1,,194156041,10085783,Unspecified,,,,,Fungicidal activity against Rhizoctonia solani infested three to four-leaf stage of rice seedlings assessed as growth inhibition measured per 10 acres by submerged application after 5 days,Other,12951461,
7,1102454,1,1,,194156041,10085783,Unspecified,,,,,Fungicidal activity against Rhizoctonia solani assessed as mycelial growth inhibition after 3 days,Other,12951461,
8,1102455,2,1,,194156041,10085783,Unspecified,,,,,Fungicidal activity against Magnaporthe oryzae infested four to five-leaf stage of rice seedlings assessed as growth inhibition measured per 10 acres applied as spray after 6 days,Other,12951461,
9,1102456,1,1,,194156041,10085783,Unspecified,,,,,Fungicidal activity against Magnaporthe oryzae assessed as mycelial growth inhibition after 7 days,Other,12951461,
