,AID,AID Version,AID Revision,Panel Member ID,SID,CID,Bioactivity Outcome,Target GI,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Bioassay Type,PubMed ID,RNAi
0,155,1,1,,68761,737157,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the rad50 strain,Other,,
1,155,1,1,,499112,737157,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the rad50 strain,Other,,
2,157,1,1,,68761,737157,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the mec2-1 strain,Other,,
3,157,1,1,,499112,737157,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the mec2-1 strain,Other,,
4,161,1,1,,68761,737157,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the sgs1 mgt1 strain,Other,,
5,161,1,1,,499112,737157,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the sgs1 mgt1 strain,Other,,
6,165,1,1,,68761,737157,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the cln2 rad14 strain,Other,,
7,165,1,1,,499112,737157,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the cln2 rad14 strain,Other,,
8,167,1,1,,68761,737157,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the bub3 strain,Other,,
9,167,1,1,,499112,737157,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the bub3 strain,Other,,
10,175,1,1,,68761,737157,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the mlh1 rad18 strain,Other,,
11,175,1,1,,499112,737157,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the mlh1 rad18 strain,Other,,
12,179,1,1,,499112,737157,Inactive,,,,,NCI AIDS Antiviral Assay,Confirmatory,,
13,330,1,1,,68761,737157,Inactive,,,,,NCI In Vivo Anticancer Drug Screen. Data for tumor model  P388 Leukemia (intraperitoneal) in CD2F1 (CDF1) mice,Other,,
14,37266,8,2,,103312907,737157,Unspecified,,,5000.0,IC50,Inhibition of alpha-glucosidase activity,Confirmatory,15125954.0,
15,1091690,1,1,,103312907,737157,Unspecified,,,,,Herbicidal activity against Raphanus sativus var.Japanese White (radish) assessed as inhibition of seed germination at 200 ppm at 25 degC measured after 5 days,Other,19368353.0,
16,1091691,1,1,,103312907,737157,Unspecified,,,,,Herbicidal activity against Raphanus sativus var.Japanese White (radish) assessed as inhibition of seed germination at 100 ppm at 25 degC measured after 5 days,Other,19368353.0,
17,1091692,1,1,,103312907,737157,Unspecified,,,,,Herbicidal activity against Raphanus sativus var.Japanese White (radish) assessed as inhibition of seed germination at 50 ppm at 25 degC measured after 5 days,Other,19368353.0,
18,1259407,1,1,,363899615,737157,Active,,,,,CCRIS mutagenicity studies,Other,,
