,AID,AID Version,AID Revision,Panel Member ID,SID,CID,Bioactivity Outcome,Target GI,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Bioassay Type,PubMed ID,RNAi
0,155,1,1,,67052,14282,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the rad50 strain,Other,,
1,157,1,1,,67052,14282,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the mec2-1 strain,Other,,
2,161,1,1,,67052,14282,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the sgs1 mgt1 strain,Other,,
3,165,1,1,,67052,14282,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the cln2 rad14 strain,Other,,
4,167,1,1,,67052,14282,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the bub3 strain,Other,,
5,175,1,1,,67052,14282,Inactive,,,,,NCI Yeast Anticancer Drug Screen. Data for the mlh1 rad18 strain,Other,,
6,248,1,1,,67052,14282,Inactive,,,,,NCI In Vivo Anticancer Drug Screen. Data for tumor model  L1210 Leukemia (intraperitoneal) in B6D2F1 (BDF1) mice,Other,,
7,1188,1,2,,48415339,14282,Active,,,,,DSSTox (EPAFHM) EPA Fathead Minnow Acute Toxicity,Other,,
8,343683,3,3,,103603904,14282,Unspecified,,,,,"Octanol-water partition coefficient, log P of the compound",Other,18558667.0,
9,343684,3,3,,103603904,14282,Unspecified,,,,,"Alkane-water partition coefficient, log P of the compound",Other,18558667.0,
10,1090711,1,1,,103603904,14282,Unspecified,,,,,Thrips luring activity against female Thrips tabaci (onion thrips) assessed as ratio of thrips in baited traps to unbaited traps during field trapping study,Other,17602496.0,
11,1090712,1,1,,103603904,14282,Unspecified,,,,,Thrips luring activity against male New Zealand Thrips obscuratus (flower thrips) assessed as ratio of thrips in baited traps to unbaited traps during field trapping study,Other,17602496.0,
12,1090713,1,1,,103603904,14282,Unspecified,,,,,Thrips luring activity against female New Zealand Thrips obscuratus (flower thrips) assessed as ratio of thrips in baited traps to unbaited traps during field trapping study,Other,17602496.0,
13,1091222,1,1,,103603904,14282,Unspecified,,,,,Thrips luring activity against female Frankliniella occidentalis (western flower thrips) assessed as trapping of thrips using compound treated yellow sticky traps relative to untreated control under commercial greenhouse,Other,18598035.0,
14,1259407,1,1,,363903904,14282,Inactive,,,,,CCRIS mutagenicity studies,Other,,
