,AID,AID Version,AID Revision,Panel Member ID,SID,CID,Bioactivity Outcome,Target GI,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Bioassay Type,PubMed ID,RNAi
0,179,1,1,,76834,91496,Inactive,,,,,NCI AIDS Antiviral Assay,Confirmatory,,
1,1098239,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against adult Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 96 hr relative to control,Other,23731643.0,
2,1098240,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against adult Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 48 hr relative to control,Other,23731643.0,
3,1098241,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against adult Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 24 hr relative to control,Other,23731643.0,
4,1098242,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against adult Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 12 hr relative to control,Other,23731643.0,
5,1098243,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against adult Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 96 hr relative to control,Other,23731643.0,
6,1098244,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against adult Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 48 hr relative to control,Other,23731643.0,
7,1098245,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against adult Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 24 hr relative to control,Other,23731643.0,
8,1098246,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against adult Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 12 hr relative to control,Other,23731643.0,
9,1098263,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against third-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 96 hr (Rvb = 3.3 +/- 3.3%),Other,23731643.0,
10,1098264,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against third-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 48 hr (Rvb = 3.3 +/- 3.3%),Other,23731643.0,
11,1098265,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against third-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 24 hr relative to control,Other,23731643.0,
12,1098266,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against third-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 12 hr relative to control,Other,23731643.0,
13,1098267,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against third-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 96 hr (Rvb = 3.3 +/- 3.3%),Other,23731643.0,
14,1098268,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against third-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 48 hr (Rvb = 3.3 +/- 3.3%),Other,23731643.0,
15,1098269,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against third-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 24 hr relative to control,Other,23731643.0,
16,1098270,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against third-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 12 hr relative to control,Other,23731643.0,
17,1098295,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against second-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 96 hr (Rvb = 3.3 +/- 3.3%),Other,23731643.0,
18,1098296,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against second-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 48 hr (Rvb = 3.3 +/- 3.3%),Other,23731643.0,
19,1098297,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against second-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 24 hr (Rvb = 3.3 +/- 3.3%),Other,23731643.0,
20,1098298,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against second-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 12 hr relative to control,Other,23731643.0,
21,1098299,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against second-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 96 hr (Rvb = 3.3 +/- 3.3%),Other,23731643.0,
22,1098300,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against second-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 48 hr (Rvb = 3.3 +/- 3.3%),Other,23731643.0,
23,1098301,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against second-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 24 hr (Rvb = 3.3 +/- 3.3%),Other,23731643.0,
24,1098302,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against second-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 12 hr relative to control,Other,23731643.0,
25,1098311,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against first-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 96 hr relative to control,Other,23731643.0,
26,1098312,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against first-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 48 hr relative to control,Other,23731643.0,
27,1098313,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against first-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 24 hr relative to control,Other,23731643.0,
28,1098314,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against first-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 20 ul after 12 hr relative to control,Other,23731643.0,
29,1098315,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against first-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 96 hr relative to control,Other,23731643.0,
30,1098316,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against first-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 48 hr relative to control,Other,23731643.0,
31,1098317,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against first-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 12 hr relative to control,Other,23731643.0,
32,1098318,1,1,,194170499,91496,Unspecified,,,,,Insecticidal activity against first-instar larval stage of Leptinotarsa decemlineata infested potato leaves assessed as mortality at 10 ul after 24 hr relative to control,Other,23731643.0,
33,1112517,1,1,,194170499,91496,Unspecified,,,,,Toxicity to Musca domestica (house fly) applied to pronotum assessed as compound level per fly causing insect mortality measured after 24 hr,Other,22461383.0,
34,1112518,1,4,,194170499,91496,Unspecified,74919269.0,101900690.0,,,Displacement of [3H]TBOB binding to GABA receptor in Musca domestica (house fly) heads homogenates assessed as [3H]TBOB binding at 500 uM incubated for 90 min by scintillation counting method,Other,22461383.0,
35,1259407,1,1,,363901713,91496,Inactive,,,,,CCRIS mutagenicity studies,Other,,
