,AID,AID Version,AID Revision,Panel Member ID,SID,CID,Bioactivity Outcome,Target GI,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Bioassay Type,PubMed ID,RNAi
0,1102204,1,1,,194184666,86268,Unspecified,,,,,Antifungal activity against Plasmodiophora brassicae in cabbage seedlings transplanted after soil infestation with fungus followed by compound application to soil assessed as cabbage club root disease control efficacy at 500 ug/ml measured after 35 days post fungal inoculation,Other,12596866.0,
1,1102205,1,1,,194184666,86268,Unspecified,,,,,Antifungal activity against Plasmodiophora brassicae in cabbage seedlings transplanted after soil infestation with fungus followed by compound application to soil assessed as cabbage club root disease control efficacy at 167 ug/ml measured after 35 days post fungal inoculation,Other,12596866.0,
2,1102206,1,1,,194184666,86268,Unspecified,,,,,Antifungal activity against Plasmodiophora brassicae in cabbage seedlings transplanted after soil infestation with fungus followed by compound application to soil assessed as cabbage club root disease control efficacy at 56 ug/ml measured after 35 days post fungal inoculation,Other,12596866.0,
3,1102207,1,1,,194184666,86268,Unspecified,,,,,Antifungal activity against Plasmodiophora brassicae in cabbage seedlings transplanted after soil infestation with fungus followed by compound application to soil assessed as cabbage club root disease control efficacy at 19 ug/ml measured after 35 days post fungal inoculation,Other,12596866.0,
4,1109094,1,2,,194184666,86268,Unspecified,,,,,Fungicidal activity against clubroot disease causing Plasmodiophora brassicae infested Brassica campestris under greenhouse condition assessed as disease incidence at 4 kg a.i/ha treated to soil measured after 40 to 50 days,Other,,
5,1109095,1,2,,194184666,86268,Unspecified,,,,,Fungicidal activity against clubroot disease causing Plasmodiophora brassicae infested Brassica campestris under greenhouse condition assessed as disease incidence at 2 kg a.i/ha treated to soil measured after 40 to 50 days,Other,,
6,1109096,1,2,,194184666,86268,Unspecified,,,,,Fungicidal activity against clubroot disease causing Plasmodiophora brassicae infested Brassica campestris under greenhouse condition assessed as disease incidence at 0.5 kg a.i/ha treated to soil measured after 40 to 50 days,Other,,
