,AID,AID Version,AID Revision,Panel Member ID,SID,CID,Bioactivity Outcome,Target GI,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Bioassay Type,PubMed ID,RNAi
0,238317,9,5,,103761767,24529,Unspecified,115449.0,759.0,8400.0,Ki,Inhibitory constant against carbonic anhydrase I,Confirmatory,15357993.0,
1,238327,9,5,,103761767,24529,Unspecified,115456.0,760.0,63000.0,Ki,Inhibitory constant against carbonic anhydrase II,Confirmatory,15357993.0,
2,238513,9,5,,103761767,24529,Unspecified,115449.0,759.0,8400.0,Ki,Inhibition constant of anion against human carbonic anhydrase isozyme hCA I,Confirmatory,15501038.0,
3,238515,9,4,,103761767,24529,Unspecified,461680.0,763.0,16000.0,Ki,Inhibition constant of anion against human carbonic anhydrase isozyme hCA V,Confirmatory,15501038.0,
4,238515,9,4,,103761767,24529,Unspecified,8928041.0,11238.0,16000.0,Ki,Inhibition constant of anion against human carbonic anhydrase isozyme hCA V,Confirmatory,15501038.0,
5,238542,9,5,,103761767,24529,Unspecified,115456.0,760.0,63000.0,Ki,Inhibition constant of anion against human carbonic anhydrase isozyme hCA II,Confirmatory,15501038.0,
6,238544,10,5,,103761767,24529,Unspecified,115465.0,762.0,30800.0,Ki,Inhibition constant of anion against human carbonic anhydrase isozyme hCA IV,Confirmatory,15501038.0,
7,238546,9,5,,103761767,24529,Unspecified,83300925.0,768.0,,Ki,Inhibition constant of anion against human carbonic anhydrase isozyme hCA IX,Confirmatory,15501038.0,
8,238607,6,7,,103761767,24529,Unspecified,729004.0,,6800.0,Ki,Inhibitory constant against Zn-Cam (Methanosarcina thermophila),Confirmatory,15357993.0,
9,238653,8,7,,103761767,24529,Inconclusive,115465.0,762.0,,,Inhibitory constant against carbonic anhydrase IV; nt= not tested,Other,15357993.0,
10,238687,11,5,,103761767,24529,Unspecified,115449.0,759.0,8400.0,Ki,Inhibitory activity against human carbonic anhydrase I expressed in Escherichia coli,Confirmatory,15454240.0,
11,238688,12,2,,103761767,24529,Unspecified,461680.0,763.0,16000.0,Ki,Inhibitory activity against human carbonic anhydrase V expressed in Escherichia coli,Confirmatory,15454240.0,
12,238688,12,2,,103761767,24529,Unspecified,8928041.0,11238.0,16000.0,Ki,Inhibitory activity against human carbonic anhydrase V expressed in Escherichia coli,Confirmatory,15454240.0,
13,238715,11,5,,103761767,24529,Unspecified,115456.0,760.0,63000.0,Ki,Inhibitory activity against human carbonic anhydrase II expressed in Escherichia coli,Confirmatory,15454240.0,
14,238853,12,1,,103761767,24529,Unspecified,30580372.0,71934.0,12600.0,Ki,Inhibitory activity against mouse carbonic anhydrase XIII expressed in Escherichia coli TOP 10,Confirmatory,15454240.0,
15,238958,7,1,,103761767,24529,Unspecified,74515025.0,,44800.0,Ki,Inhibitory constant against methanoarchaeon Methanobacterium thermoautotrophicum (Cab),Confirmatory,15357993.0,
16,265737,9,5,,103761767,24529,Unspecified,1168744.0,766.0,1780.0,Ki,Inhibition of human recombinant CA7,Confirmatory,16621537.0,
17,552127,9,2,,103761767,24529,Unspecified,115449.0,759.0,8400.0,Ki,Inhibition of human recombinant CA1 by stopped-flow CO2 hydration assay,Confirmatory,21208801.0,
18,552128,9,2,,103761767,24529,Unspecified,115456.0,760.0,63000.0,Ki,Inhibition of human recombinant CA2 by stopped-flow CO2 hydration assay,Confirmatory,21208801.0,
19,552129,9,2,,103761767,24529,Unspecified,116241278.0,765.0,820.0,Ki,Inhibition of human recombinant CA6 by stopped-flow CO2 hydration assay,Confirmatory,21208801.0,
20,552130,9,1,,103761767,24529,Unspecified,,,770.0,Ki,Inhibition of Stylophora pistillata carbonic anhydrase by stopped-flow CO2 hydration assay,Confirmatory,21208801.0,
21,552131,9,1,,103761767,24529,Unspecified,,,3150.0,Ki,Inhibition of Stylophora pistillata carbonic anhydrase 2 by stopped-flow CO2 hydration assay,Confirmatory,21208801.0,
22,1259408,1,1,,363896601,24529,Active,,,,,GENE-TOX mutagenicity studies,Other,,
23,1259423,1,2,,354777398,24529,Inactive,,,,,Primary cell-based high-throughput screening assay for identification of small molecule agonists of Aedes aegypti NPYLR7 [Small Molecule Inhibitors of Mosquito Biting Behavior],Screening,,
