,AID,AID Version,AID Revision,Panel Member ID,SID,CID,Bioactivity Outcome,Target GI,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Bioassay Type,PubMed ID,RNAi
0,80540,6,2,,103340679,92119,Active,,,1.8,GI50,The compound was evaluated for cytotoxicity against colon cancer cell line HCT116,Confirmatory,7650694.0,
1,100999,6,2,,103340679,92119,Active,,,2.2,GI50,The compound was evaluated for cytotoxicity against melanoma cell line LOX-IMVI,Confirmatory,7650694.0,
2,103437,6,2,,103340679,92119,Active,,,3.9,GI50,The compound was evaluated for cytotoxicity against breast cancer cell line MCF-7,Confirmatory,7650694.0,
3,143338,6,2,,103340679,92119,Active,,,1.0,GI50,The compound was evaluated for cytotoxicity against lung cancer cell line NCI-H522,Confirmatory,7650694.0,
4,145736,6,2,,103340679,92119,Active,,,4.9,GI50,The compound was evaluated for cytotoxicity against ovarian cancer cell line OVCAR-5,Confirmatory,7650694.0,
5,156154,6,2,,103340679,92119,Active,,,4.5,GI50,The compound was evaluated for cytotoxicity against prostate cancer cell line PC-3,Confirmatory,7650694.0,
6,200440,6,2,,103340679,92119,Active,,,3.4,GI50,The compound was evaluated for cytotoxicity against renal cancer cell line SN12C,Confirmatory,7650694.0,
7,201281,6,2,,103340679,92119,Active,,,2.9,GI50,The compound was evaluated for cytotoxicity against CNS cancer cell line CNS SF-539,Confirmatory,7650694.0,
8,310936,6,1,,103340679,92119,Unspecified,,,,,Cytotoxicity against human KB cells,Other,17336532.0,
9,387024,8,1,,103340679,92119,Unspecified,,,,,Cytotoxicity against human KB cells,Other,18329753.0,
10,1107515,1,1,,103340679,92119,Unspecified,,,300.0,EC50,Phytotoxicity against Avena fatua assessed as inhibition of shoot growth as shoot length,Confirmatory,23731643.0,
11,1107516,1,1,,103340679,92119,Unspecified,,,,,Phytotoxicity against Avena fatua assessed as inhibition of shoot growth as shoot length at 2 mM (Rvb = 11.2 +/- 0.35%),Other,23731643.0,
12,1107517,1,1,,103340679,92119,Unspecified,,,,,Phytotoxicity against Avena fatua assessed as inhibition of shoot growth as shoot length at 1 mM (Rvb = 11.2 +/- 0.35%),Other,23731643.0,
13,1107518,1,1,,103340679,92119,Unspecified,,,,,Phytotoxicity against Avena fatua assessed as inhibition of shoot growth as shoot length at 0.5 mM (Rvb = 11.2 +/- 0.35%),Other,23731643.0,
14,1107519,1,1,,103340679,92119,Unspecified,,,,,Phytotoxicity against Avena fatua assessed as inhibition of shoot growth as shoot length at 0.25 mM (Rvb = 11.2 +/- 0.35%),Other,23731643.0,
15,1107520,1,1,,103340679,92119,Unspecified,,,,,Phytotoxicity against Avena fatua assessed as inhibition of shoot growth as shoot length at 0.125 mM (Rvb = 11.2 +/- 0.35%),Other,23731643.0,
16,1107521,1,1,,103340679,92119,Unspecified,,,220.0,EC50,Phytotoxicity against Avena fatua assessed as inhibition of root growth as root length,Confirmatory,23731643.0,
17,1107522,1,1,,103340679,92119,Unspecified,,,,,Phytotoxicity against Avena fatua assessed as inhibition of root growth as root length at 2 mM (Rvb = 9.6 +/- 0.36%),Other,23731643.0,
18,1107523,1,1,,103340679,92119,Unspecified,,,,,Phytotoxicity against Avena fatua assessed as inhibition of root growth as root length at 1 mM (Rvb = 9.6 +/- 0.36%),Other,23731643.0,
19,1107524,1,1,,103340679,92119,Unspecified,,,,,Phytotoxicity against Avena fatua assessed as inhibition of root growth as root length at 0.5 mM (Rvb = 9.6 +/- 0.36%),Other,23731643.0,
20,1107525,1,1,,103340679,92119,Unspecified,,,,,Phytotoxicity against Avena fatua assessed as inhibition of root growth as root length at 0.25 mM measured after 10 days sowing (Rvb = 9.6 +/- 0.36%),Other,23731643.0,
21,1107526,1,1,,103340679,92119,Unspecified,,,,,Phytotoxicity against Avena fatua assessed as inhibition of root growth as root length at 0.125 mM (Rvb = 9.6 +/- 0.36%),Other,23731643.0,
22,1107527,1,1,,103340679,92119,Unspecified,,,,,Phytotoxicity against Avena fatua assessed as seed germination at 2 mM measured after 10 days sowing (Rvb = 50 +/- 2.89%),Other,23731643.0,
23,1107528,1,1,,103340679,92119,Unspecified,,,,,Phytotoxicity against Avena fatua assessed as seed germination at 1 mM measured after 10 days sowing (Rvb = 50 +/- 2.89%),Other,23731643.0,
24,1107529,1,1,,103340679,92119,Unspecified,,,,,Phytotoxicity against Avena fatua assessed as seed germination at 0.5 mM measured after 10 days sowing (Rvb = 50 +/- 2.89%),Other,23731643.0,
25,1107530,1,1,,103340679,92119,Unspecified,,,,,Phytotoxicity against Avena fatua assessed as seed germination at 0.25 mM measured after 10 days sowing (Rvb = 50 +/- 2.89%),Other,23731643.0,
26,1107531,1,1,,103340679,92119,Unspecified,,,,,Phytotoxicity against Avena fatua assessed as seed germination at 0.125 mM measured after 10 days sowing (Rvb = 50 +/- 2.89%),Other,23731643.0,
27,1120833,1,1,,103340679,92119,Active,,,2.2,GI50,Antiproliferative activity against human LOXIMVI cells,Confirmatory,,
28,1120834,1,1,,103340679,92119,Active,,,,IC50,Antiproliferative activity against human MCF7 cells,Confirmatory,,
29,1120835,1,1,,103340679,92119,Active,,,1.0,GI50,Antiproliferative activity against human NCI-H522 cells,Confirmatory,,
30,1259407,1,1,,363902087,92119,Inactive,,,,,CCRIS mutagenicity studies,Other,,
