,AID,AID Version,AID Revision,Panel Member ID,SID,CID,Bioactivity Outcome,Target GI,Target GeneID,Activity Value [uM],Activity Name,Assay Name,Bioassay Type,PubMed ID,RNAi
0,214996,3,3,,103427116,53283,Unspecified,,,,,"Trypanocidal activity against Trypanosoma brucei, exposure of parasites to compound prior to injection into mice at 10 e-4 M concentration in dark conditions",Other,6737429.0,
1,215154,3,3,,103427116,53283,Unspecified,,,,,"Trypanocidal activity against Trypanosoma brucei, exposure of parasites to compound prior to injection into mice at 10 e-5 M concentration in dark conditions",Other,6737429.0,
2,215155,4,3,,103427116,53283,Unspecified,,,,,"Compound is evaluated for trypanocidal activity against Trypanosoma brucei, by exposing the parasites directly to compound prior to injection to mice at 10 e-5 M concentration in presence of light",Other,6737429.0,
3,215158,3,3,,103427116,53283,Unspecified,,,,,"Compound is evaluated for trypanocidal activity against Trypanosoma brucei, by exposing the parasites directly to compound prior to injection to mice at 10 e-6 M concentration (pre) in presence of light.",Other,6737429.0,
4,215159,3,3,,103427116,53283,Unspecified,,,,,"Trypanocidal activity against Trypanosoma brucei, exposure of parasites to compound prior to injection into mice at 10 e-6 M concentration in dark conditions",Other,6737429.0,
5,215160,3,3,,103427116,53283,Unspecified,,,,,"Trypanocidal activity against Trypanosoma brucei, exposur of parasites to compound prior to injection into mice at 10 e-6 M concentration in presence of light",Other,6737429.0,
6,215162,3,3,,103427116,53283,Unspecified,,,,,"Compound is evaluated for trypanocidal activity against Trypanosoma brucei, by exposing the parasites directly to compound prior to injection to mice at 10 e-7 M concentration in dark conditions",Other,6737429.0,
7,215163,3,3,,103427116,53283,Unspecified,,,,,"Compound is evaluated for trypanocidal activity against Trypanosoma brucei, by exposing the parasites directly to compound prior to injection to mice at 10 e-7 M concentration in presence of light",Other,6737429.0,
8,1259407,1,1,,363900064,53283,Inactive,,,,,CCRIS mutagenicity studies,Other,,
