13;95050-16-1;O=C(Nc1ccc(c(c1)NC(=O)C(C(=O)C(C)(C)C)N3C(=O)N(Cc2ccccc2)C(OCC)C3(=O))Cl)C(Oc4ccc(cc4C(C)(C)CC)C(C)(C)CC)CC;0;TS;0,11;non-mutagenic;0,05;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,864;0,747;1;1;True;1;non-mutagenic;;0,721;0,725;1;0,514;1;mutagenic;3;7;"SM94; SM95; SM98; SM115; SM117; SM128; SM154; SM156; SM176; SM182";0;0,747;0,672;0;1;non-mutagenic;4;0,732;0,756;0,501;1;1;non-mutagenic;;non-mutagenic
14;51431-08-4;O=C(C(N)c1ccc(O)cc1)Cl;0;TS;0,71;mutagenic;1,25;mutagenic;1;mutagenic;mutagenic;SA1 Acyl halides;0,757;0,86;0,665;0,667;True;1;mutagenic;SA1 Acyl halides;0,392;0,836;1;0,499;0,51;mutagenic;1;0;SM106;0,838;0,86;1;0,667;1;mutagenic;4;0,803;0,859;0,75;0,75;1;mutagenic;non-mutagenic;non-mutagenic
15;19847-12-2;N#Cc1nccnc1;0;TS;0,28;non-mutagenic;0,08;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,755;0,85;0,671;0,671;True;1;non-mutagenic;;0,545;0,758;0,543;0,543;0,85;non-mutagenic;0;1;SM192;0,755;0,85;0,671;0,671;1;non-mutagenic;4;0,799;0,848;0,753;0,753;1;non-mutagenic;non-mutagenic;non-mutagenic
18;84-62-8;O=C(Oc1ccccc1)c3ccccc3(C(=O)Oc2ccccc2);0;TS;-0,06;non-mutagenic;-0,15;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,841;0,867;1;0,665;True;1;non-mutagenic;;0,928;0,861;1;1;1;non-mutagenic;0;1;SM118;0,841;0,867;1;0,665;1;non-mutagenic;4;0,864;0,863;1;0,747;1;non-mutagenic;non-mutagenic;non-mutagenic
21;94726-76-8;O=C(OCCCCCCCCCCCC)c1ccc(c(c1)NC(=O)C(C(=O)C(C)(C)C)Br)Cl;0;TS;-0,1;non-mutagenic;0,05;non-mutagenic;0;non-mutagenic;mutagenic;SA8 Aliphatic halogens;0;0,819;1;0;True;1;mutagenic;SA8 Aliphatic halogens;0;0,766;0,53;0;1;mutagenic;1;7;"SM93; SM146; SM154; SM157; SM163; SM170; SM182; SM193";0;0,819;1;0;1;non-mutagenic;4;0,903;0,816;1;1;1;mutagenic;non-mutagenic;non-mutagenic
22;33765-85-4;OC2C(CC)CC3C4CCc1cc(OC)ccc1C4(CCC23(C));0;TS;0,06;non-mutagenic;0,15;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,969;0,938;1;1;True;1;mutagenic;SA39 Steroidal estrogens;0;0,887;0,467;0;1;non-mutagenic;0;8;"SM116; SM141; SM157; SM162; SM163; SM169; SM182; SM200";0,969;0,938;1;1;1;non-mutagenic;4;0,972;0,944;1;1;1;non-mutagenic;non-mutagenic;non-mutagenic
23;40336-44-5;O=C2OC(OC(=O)Cl)c1c2(cc(c(OC)c1CC=C(C)CCC(=O)OCC)C);0;TS;0,23;non-mutagenic;0,38;non-mutagenic;0,67;mutagenic;mutagenic;SA1 Acyl halides;0;0,799;1;0;True;0,85;mutagenic;"SA1 Acyl halides; SA38 Alkenylbenzenes";0;0,77;1;0;0,4;non-mutagenic;0;2;"SM170; SM178";0,76;0,799;1;1;0,85;non-mutagenic;4;0,626;0,769;0,497;1;0,85;mutagenic;non-mutagenic;non-mutagenic
25;14405-03-9;O=C(c1cc(ccc1(NC(=O)CCl))Cl)c2ccccc2Cl;0;TS;0,37;non-mutagenic;1,1;mutagenic;0,67;mutagenic;mutagenic;SA8 Aliphatic halogens;0,84;0,861;1;0,67;True;1;mutagenic;SA8 Aliphatic halogens;0;0,849;1;0;1;mutagenic;2;1;"SM45; SM106; SM190";0,76;0,861;0,67;0,67;1;mutagenic;4;0,862;0,857;1;0,752;1;mutagenic;mutagenic;non-mutagenic
26;88-87-9;O=[N+]([O-])c1cc(cc(c1(O))[N+](=O)[O-])Cl;0;TS;0,22;non-mutagenic;0,59;mutagenic;0,67;mutagenic;mutagenic;SA27 Nitro aromatic;0,558;0,937;0,332;0,332;True;1;mutagenic;SA27 Nitro aromatic;0,677;0,927;0,494;0,494;1;mutagenic;1;0;SM95;0,558;0,937;0,332;0,332;1;non-mutagenic;4;0,575;0,933;0,25;0,503;1;mutagenic;mutagenic;mutagenic
29;73211-95-7;O=C1c6c(C(=O)N1c5cccc2c5(cccc2N3C(=O)c4c(C3(=O))c(c(c(c4Br)Br)Br)Br))c(c(c(c6Br)Br)Br)Br;0;TS;0,25;non-mutagenic;0,3;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,803;0,774;0,694;1;True;1;non-mutagenic;;0,603;0,72;1;0,487;0,85;non-mutagenic;0;1;SM152;0,803;0,774;0,694;1;1;non-mutagenic;4;0,745;0,759;1;0,533;1;non-mutagenic;non-mutagenic;mutagenic
30;67707-04-4;c1ccc(cc1)N(c2ccc(cc2)C(c3ccc(cc3)N(c4ccccc4)C)c5ccc7c(c5)c6ccccc6n7CCCC)C;0;TS;-0,03;non-mutagenic;-0,61;non-mutagenic;0,33;non-mutagenic;mutagenic;SA19 Heterocyclic Polycyclic Aromatic Hydrocarbons;0;0,75;0,338;0,338;False;0,85;mutagenic;SA19 Heterocyclic Polycyclic Aromatic Hydrocarbons;0,301;0,699;0,499;0,499;0,51;mutagenic;4;1;"SM38; SM76; SM83; SM104; SM197";0,428;0,75;0,338;0,338;0,85;non-mutagenic;4;0,572;0,752;0,252;0,748;1;mutagenic;mutagenic;mutagenic
32;50862-24-3;O=C(OCC[N+](C)(C)CC(O)C[N+](C)(C)C)C(=C)C;0;TS;;;-0,02;non-mutagenic;0,67;mutagenic;non-mutagenic;;0,873;0,762;1;1;True;1;non-mutagenic;;0;0,703;1;0;0,85;non-mutagenic;0;4;"SM155; SM175; SM176; SM187";0,785;0,762;0,655;1;1;non-mutagenic;4;0,748;0,762;0,734;0,734;1;non-mutagenic;non-mutagenic;non-mutagenic
33;2163-42-0;OCC(C)CO;0;TS;0,34;non-mutagenic;0,01;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,957;0,916;1;1;True;1;non-mutagenic;;0,933;0,871;1;1;1;non-mutagenic;0;0;;0,957;0,916;1;1;1;non-mutagenic;4;0,895;0,922;1;0,756;1;non-mutagenic;non-mutagenic;non-mutagenic
36;42155-00-0;O=C(N)N1CCN(C)CC1;0;TS;0,06;non-mutagenic;0,34;non-mutagenic;0,67;mutagenic;non-mutagenic;;0,91;0,828;1;1;True;1;non-mutagenic;;0;0,837;0,476;0;1;non-mutagenic;0;0;;0,91;0,828;1;1;1;non-mutagenic;4;0,85;0,834;1;0,749;1;non-mutagenic;non-mutagenic;non-mutagenic
37;7035-79-2;O=C(c1ccc(N=C(N)N)cc1)Cl;0;TS;0,22;non-mutagenic;1,06;mutagenic;0,33;non-mutagenic;mutagenic;SA1 Acyl halides;0,823;0,829;1;0,667;True;1;mutagenic;SA1 Acyl halides;0,451;0,806;1;0,492;0,6;mutagenic;2;0;"SM20; SM104";0,744;0,829;0,667;0,667;1;mutagenic;4;0,766;0,828;1;0,501;1;mutagenic;mutagenic;mutagenic
38;59721-28-7;O=C(Oc1ccc(cc1)CC(=O)OCC(=O)N(C)C)c2ccc(N=C(N)N)cc2;0;TS;0,1;non-mutagenic;-0,05;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,899;0,808;1;1;True;1;non-mutagenic;;0,739;0,769;0,504;1;1;mutagenic;1;2;"SM104; SM176; SM195";0;0,808;0,665;0;1;non-mutagenic;4;0,836;0,808;0,749;1;1;non-mutagenic;non-mutagenic;non-mutagenic
39;52334-81-3;FC(F)(F)c1cnc(cc1)Cl;0;TS;-0,22;non-mutagenic;-0,18;non-mutagenic;0;non-mutagenic;non-mutagenic;;0,744;0,842;0,658;0,658;True;1;non-mutagenic;;0,621;0,765;1;0,488;0,85;non-mutagenic;0;0;;0,826;0,842;1;0,658;1;non-mutagenic;4;0,788;0,838;0,742;0,742;1;non-mutagenic;non-mutagenic;non-mutagenic
41;13138-21-1;N#CC=[N+]=[N-];1;TS;;;0,11;non-mutagenic;1;mutagenic;mutagenic;SA14 Aliphatic azo and azoxy;0;0,736;1;0;True;1;mutagenic;SA14 Aliphatic azo and azoxy;0,514;0,732;0,459;0,541;0,85;mutagenic;1;2;"SM25; SM179; SM192";0;0,736;1;0;1;non-mutagenic;3;0,858;0,736;1;1;1;mutagenic;non-mutagenic;non-mutagenic
42;57569-40-1;O=C(Oc1c(cc(cc1C(C)(C)C)C)Cc2cc(cc(c2(O))C(C)(C)C)C)c3ccc(cc3)C(=O)Oc4c(cc(cc4C(C)(C)C)C)Cc5cc(cc(c5(O))C(C)(C)C)C;0;TS;0,42;non-mutagenic;-0,05;non-mutagenic;0;non-mutagenic;non-mutagenic;;0;0,729;0,665;1;False;1;non-mutagenic;;0,698;0,694;1;0,493;1;non-mutagenic;0;1;SM117;0,771;0,729;0,665;1;1;non-mutagenic;4;0,852;0,726;1;1;1;non-mutagenic;non-mutagenic;non-mutagenic
